1,387,801,11,22
2,101,301,19,14
3,472,755,11,16
4,518,720,23,17
5,481,939,29,20
6,665,299,23,18
7,866,652,28,19
8,77,274,26,21
9,621,302,20,22
10,936,278,13,27
11,479,722,10,13
12,220,540,18,12
13,68,980,11,19
14,917,178,14,21
15,215,698,24,20
16,403,29,15,13
17,591,279,28,19
18,362,292,17,10
19,501,670,27,11
20,529,416,17,22
21,114,619,23,27
22,656,474,12,23
23,268,584,20,14
24,248,824,29,22
25,745,918,17,15
26,912,122,13,21
27,29,872,28,26
28,22,935,15,26
29,599,579,10,10
30,502,44,15,22
31,717,846,11,14
32,973,219,13,29
33,316,504,29,11
34,287,721,29,25
35,624,710,13,10
36,668,103,21,23
37,480,96,21,25
38,938,678,20,24
39,26,887,21,19
40,347,525,25,25
41,297,661,27,17
42,507,462,11,13
43,122,38,24,23
44,591,17,17,10
45,690,350,12,18
46,458,575,27,15
47,528,849,21,12
48,165,673,23,14
49,709,806,16,20
50,145,655,21,27
51,227,865,29,19
52,119,852,15,13
53,735,614,21,14
54,744,550,17,11
55,337,598,7,3
56,867,533,12,16
57,229,178,13,17
58,412,762,18,23
59,583,182,24,15
60,328,595,29,10
61,673,114,28,21
62,428,854,10,14
63,907,9,19,20
64,511,698,19,28
65,542,182,29,14
66,165,178,21,22
67,194,415,24,18
68,261,869,22,25
69,851,139,10,9
70,776,375,19,12
71,197,84,21,29
72,35,294,11,12
73,169,358,28,19
74,979,733,17,23
75,402,767,22,14
76,746,605,28,27
77,430,900,14,19
78,549,143,21,10
79,696,21,13,23
80,50,856,21,24
81,619,113,11,21
82,191,785,20,29
83,639,27,18,16
84,103,649,19,15
85,629,270,23,19
86,598,581,28,19
87,460,560,16,26
88,182,942,12,18
89,751,516,23,22
90,960,188,26,28
91,850,596,16,18
92,654,886,23,23
93,532,954,17,10
94,430,119,14,17
95,551,352,28,11
96,63,52,17,19
97,336,335,13,11
98,915,607,24,26
99,918,612,28,15
100,204,209,24,11
101,58,231,17,12
102,453,263,19,18
103,560,968,21,22
104,107,897,28,29
105,403,452,15,24
106,230,722,15,23
107,408,271,25,20
108,590,632,18,21
109,935,819,29,14
110,384,490,13,26
111,225,176,17,22
112,371,65,19,12
113,171,147,19,12
114,202,500,18,20
115,699,915,17,26
116,443,687,23,21
117,347,300,19,22
118,827,435,24,11
119,536,588,29,16
120,520,674,13,24
121,419,318,19,15
122,771,508,12,29
123,650,675,23,29
124,297,672,22,26
125,669,714,18,27
126,700,928,14,17
127,473,762,25,23
128,924,717,25,23
129,792,342,20,14
130,398,28,15,22
131,480,173,11,18
132,341,559,24,24
133,761,915,21,20
134,616,408,27,11
135,986,790,13,21
136,393,916,16,17
137,605,69,21,20
138,288,599,25,15
139,480,325,12,16
140,62,646,28,18
141,309,533,22,14
142,875,235,21,18
143,223,179,16,14
144,277,513,15,26
145,342,858,15,25
146,500,465,23,12
147,523,795,28,25
148,933,784,22,29
149,964,42,15,17
150,151,727,21,14
151,626,653,18,16
152,707,516,24,27
153,81,41,23,17
154,521,420,11,14
155,775,209,14,10
156,707,365,27,27
157,479,691,29,15
158,855,225,29,28
159,552,835,11,13
160,12,726,15,22
161,801,699,15,27
162,397,920,18,13
163,766,728,10,11
164,533,688,27,15
165,877,719,10,18
166,900,15,13,14
167,14,245,26,24
168,697,306,27,16
169,91,710,11,11
170,657,883,21,14
171,456,858,24,11
172,729,907,18,15
173,773,819,15,16
174,605,944,6,4
175,66,167,11,13
176,485,696,27,29
177,200,185,18,19
178,211,746,21,20
179,296,595,29,18
180,68,49,25,10
181,865,803,19,22
182,778,460,25,15
183,2,510,10,10
184,751,163,10,23
185,372,865,28,16
186,319,469,15,26
187,543,318,14,17
188,718,707,11,24
189,291,591,14,11
190,427,870,16,24
191,652,105,21,15
192,195,380,29,27
193,520,684,26,10
194,670,123,11,16
195,596,708,21,17
196,355,915,20,21
197,734,920,23,27
198,62,424,10,22
199,545,319,21,10
200,785,983,29,14
201,724,37,11,19
202,987,34,12,18
203,592,146,22,26
204,630,483,29,26
205,709,845,17,16
206,156,490,22,16
207,546,76,29,21
208,339,812,20,14
209,829,419,28,25
210,211,213,10,28
211,468,537,11,10
212,973,957,13,20
213,805,264,26,26
214,218,873,10,16
215,801,671,3,8
216,643,974,22,13
217,329,865,28,10
218,269,828,12,18
219,383,199,16,24
220,541,390,19,21
221,103,47,28,29
222,114,231,21,28
223,523,186,13,15
224,9,48,23,11
225,598,722,10,14
226,61,968,11,25
227,753,551,25,22
228,103,318,13,28
229,859,440,26,29
230,324,310,15,22
231,861,836,17,21
232,276,80,11,13
233,198,699,17,10
234,952,313,25,13
235,95,886,11,16
236,183,979,27,10
237,299,682,26,17
238,67,499,26,19
239,746,726,28,11
240,775,648,28,21
241,356,552,23,23
242,205,643,21,11
243,510,677,19,11
244,322,25,14,11
245,247,788,18,29
246,158,32,23,28
247,663,748,23,10
248,212,546,14,13
249,910,890,17,19
250,495,723,22,17
251,273,831,4,5
252,905,842,11,10
253,193,566,25,29
254,558,291,22,12
255,669,293,11,26
256,392,970,28,21
257,155,131,18,29
258,169,357,20,27
259,205,200,11,17
260,39,958,21,23
261,879,852,29,13
262,775,658,12,24
263,732,606,13,10
264,159,742,16,11
265,170,711,17,28
266,276,674,28,29
267,825,162,15,19
268,194,306,25,16
269,866,816,17,21
270,24,94,17,19
271,407,108,11,16
272,907,551,23,23
273,771,97,12,24
274,819,915,18,14
275,336,615,28,21
276,117,237,13,16
277,173,29,15,22
278,349,52,29,19
279,883,583,26,16
280,525,913,25,25
281,750,98,22,15
282,479,84,28,19
283,366,138,28,25
284,306,939,27,17
285,634,569,23,12
286,185,944,12,26
287,526,524,17,18
288,247,68,16,29
289,137,44,13,11
290,483,23,24,27
291,542,409,26,14
292,714,827,26,25
293,419,540,17,14
294,93,898,17,20
295,499,258,27,18
296,307,672,13,20
297,869,671,20,14
298,845,862,19,18
299,118,829,16,24
300,436,134,16,21
301,845,878,22,24
302,971,186,24,22
303,190,957,26,27
304,586,227,23,13
305,156,473,14,17
306,904,898,13,12
307,963,52,21,17
308,930,612,19,23
309,88,716,20,11
310,575,642,16,17
311,658,391,16,21
312,910,867,16,16
313,735,142,29,27
314,174,916,11,29
